 @RELATION predict

 @ATTRIBUTE act_last_two  {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
 @ATTRIBUTE act_last   {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
 @ATTRIBUTE startTime  {0,1,2,3,4}
 @ATTRIBUTE dayofweek {0,1}
 @ATTRIBUTE act   {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
 @data
9,14,1,0,8
14,8,1,0,1
8,1,1,0,14
1,14,1,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,3,0,4
14,4,3,0,14
4,14,3,0,13
14,13,4,1,14
13,14,4,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,6
14,6,0,1,14
6,14,3,1,13
14,13,3,1,14
13,14,3,1,13
14,13,3,1,14
13,14,3,1,9
14,9,4,1,2
9,2,4,1,14
2,14,4,1,7
14,7,4,1,14
7,14,4,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,1,1,14
9,14,3,1,12
14,12,3,1,14
12,14,3,1,7
14,7,3,1,14
7,14,3,1,12
14,12,3,1,14
12,14,3,1,13
14,13,3,0,14
13,14,3,0,12
14,12,3,0,14
12,14,3,0,6
14,6,3,0,14
6,14,3,0,4
14,4,3,0,14
4,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,4,0,9
13,9,3,0,14
9,14,3,0,8
14,8,3,0,1
8,1,3,0,14
1,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,14
8,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,0,0,9
13,9,0,0,14
9,14,0,0,6
14,6,0,0,14
6,14,3,0,12
14,12,3,0,6
12,6,3,0,14
6,14,0,0,4
14,4,0,0,14
4,14,0,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,3,0,4
14,4,3,0,14
4,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,1
8,1,4,0,14
1,14,4,0,13
14,13,4,0,14
13,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,0,0,14
9,14,0,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,4,1,14
13,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,3,1,6
14,6,3,1,14
6,14,3,1,4
14,4,3,1,14
4,14,3,1,6
14,6,3,1,14
6,14,3,1,4
14,4,3,1,14
4,14,3,1,12
14,12,3,1,14
12,14,3,1,8
14,8,3,1,14
8,14,4,1,13
14,13,4,1,8
13,8,4,1,14
8,14,4,1,12
14,12,4,1,14
12,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,8
13,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,6
14,6,0,1,14
6,14,3,1,13
14,13,3,1,14
13,14,3,1,8
14,8,3,1,1
8,1,3,1,14
1,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,4,0,14
13,14,4,0,9
14,9,3,0,14
9,14,3,0,12
14,12,3,0,14
12,14,3,0,8
14,8,3,0,14
8,14,3,0,8
14,8,3,0,14
8,14,3,0,12
14,12,3,0,14
12,14,3,0,9
14,9,1,0,14
9,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,3,0,14
13,14,3,0,12
14,12,4,0,14
12,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,4,0,14
9,14,4,0,9
14,9,0,0,14
9,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,6
14,6,0,0,14
6,14,1,0,4
14,4,1,0,14
4,14,1,0,8
14,8,1,0,14
8,14,1,0,7
14,7,1,0,14
7,14,3,0,12
14,12,3,0,14
12,14,3,0,12
14,12,3,0,14
12,14,3,0,7
14,7,3,0,14
7,14,3,0,8
14,8,3,0,14
8,14,3,0,8
14,8,3,0,14
8,14,3,0,12
14,12,3,0,14
12,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,3
14,3,3,0,14
3,14,3,0,12
14,12,4,0,14
12,14,4,0,12
14,12,4,0,14
12,14,4,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,3,0,13
14,13,3,0,8
13,8,3,0,14
8,14,3,0,9
14,9,4,0,2
9,2,4,0,14
2,14,0,0,8
14,8,0,0,14
8,14,0,0,6
14,6,0,0,14
6,14,4,0,4
14,4,4,0,14
4,14,4,0,7
14,7,4,0,8
7,8,4,0,14
8,14,4,0,7
14,7,4,0,14
7,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,1,0,14
9,14,3,0,6
14,6,3,0,14
6,14,3,0,7
14,7,3,0,14
7,14,3,0,9
14,9,3,1,14
9,14,3,1,13
14,13,0,1,8
13,8,0,1,14
8,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,6
14,6,0,1,14
6,14,3,1,9
14,9,3,1,2
9,2,3,1,14
2,14,3,1,2
14,2,3,1,14
2,14,4,1,2
14,2,4,1,14
2,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,1,1,14
9,14,3,1,4
14,4,3,0,14
4,14,3,0,8
14,8,3,0,14
8,14,3,0,8
14,8,3,0,14
8,14,3,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,7
14,7,0,0,14
7,14,0,0,6
14,6,0,0,14
6,14,3,0,7
14,7,3,0,14
7,14,3,0,3
14,3,3,0,14
3,14,3,0,12
14,12,4,0,14
12,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,1,0,14
9,14,3,0,4
14,4,3,0,14
4,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,4,0,14
7,14,4,0,3
14,3,4,0,14
3,14,4,0,8
14,8,4,0,14
8,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,0,0,13
9,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,3,0,12
14,12,4,0,14
12,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,1,0,14
9,14,3,1,4
14,4,3,1,14
4,14,4,1,7
14,7,4,1,14
7,14,4,1,3
14,3,4,1,14
3,14,4,1,9
14,9,3,1,14
9,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,3,1,14
13,14,3,1,8
14,8,3,1,14
8,14,3,1,6
14,6,3,1,14
6,14,3,1,12
14,12,3,1,14
12,14,3,1,7
14,7,3,1,14
7,14,3,1,13
14,13,4,1,9
13,9,4,1,14
9,14,4,1,8
14,8,4,1,14
8,14,4,1,8
14,8,4,1,14
8,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,8
13,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,6
14,6,4,1,14
6,14,3,1,9
14,9,3,0,14
9,14,3,0,14
14,14,3,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,4,0,8
9,8,4,0,14
8,14,4,0,8
14,8,4,0,14
8,14,4,0,7
14,7,4,0,14
7,14,4,0,6
14,6,4,0,14
6,14,3,0,9
14,9,4,0,14
9,14,4,0,9
14,9,3,0,14
9,14,3,0,8
14,8,3,0,14
8,14,3,0,8
14,8,0,0,14
8,14,0,0,9
14,9,0,0,14
9,14,0,0,6
14,6,0,0,14
6,14,3,0,3
14,3,3,0,14
3,14,3,0,8
14,8,3,0,14
8,14,3,0,13
14,13,3,0,8
13,8,3,0,14
8,14,3,0,13
14,13,3,0,14
13,14,3,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,1
8,1,1,0,14
1,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,3,0,13
14,13,4,0,14
13,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,7
14,7,0,0,14
7,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,6
14,6,0,0,14
6,14,0,0,13
14,13,1,0,14
13,14,3,0,13
14,13,3,0,8
13,8,3,0,14
8,14,3,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,1
8,1,0,0,14
1,14,0,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,3,0,14
14,14,3,0,3
14,3,3,0,14
3,14,3,0,12
14,12,3,0,14
12,14,3,0,12
14,12,3,0,14
12,14,3,1,12
14,12,4,1,7
12,7,4,1,14
7,14,4,1,13
14,13,4,1,14
13,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,3,1,14
9,14,3,1,8
14,8,0,1,1
8,1,0,1,14
1,14,0,1,13
14,13,0,1,14
13,14,0,1,6
14,6,0,1,14
6,14,0,1,8
14,8,0,1,14
8,14,3,1,7
14,7,3,1,14
7,14,3,1,13
14,13,3,1,14
13,14,3,1,9
14,9,4,1,2
9,2,4,1,14
2,14,0,1,8
14,8,0,1,14
8,14,0,1,9
14,9,0,1,14
9,14,0,1,13
14,13,0,1,14
13,14,0,1,6
14,6,0,1,14
6,14,3,1,7
14,7,3,1,14
7,14,3,1,3
14,3,3,0,14
3,14,4,0,12
14,12,4,0,14
12,14,4,0,12
14,12,4,0,14
12,14,4,0,13
14,13,4,0,8
13,8,4,0,14
8,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,9
14,9,0,0,14
9,14,0,0,6
14,6,0,0,14
6,14,3,0,12
14,12,4,0,7
12,7,4,0,14
7,14,4,0,3
14,3,4,0,14
3,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,1,0,12
14,12,1,0,14
12,14,3,0,4
14,4,3,0,14
4,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,1,0,14
9,14,1,0,9
14,9,1,0,14
9,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,1
8,1,3,0,14
1,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,14
8,14,3,0,9
14,9,3,0,14
9,14,3,0,13
14,13,3,0,14
13,14,3,0,6
14,6,3,0,14
6,14,0,0,4
14,4,0,0,14
4,14,0,0,12
14,12,0,0,14
12,14,4,1,12
14,12,4,1,14
12,14,4,1,13
14,13,4,1,14
13,14,4,1,13
14,13,4,1,8
13,8,4,1,14
8,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,3,1,14
13,14,3,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,14
8,14,3,1,12
14,12,3,1,14
12,14,3,1,13
14,13,3,1,14
13,14,3,1,12
14,12,3,1,14
12,14,3,1,13
14,13,3,1,14
13,14,3,1,12
14,12,3,1,14
12,14,3,1,12
14,12,3,1,14
12,14,3,1,13
14,13,3,1,14
13,14,3,1,12
14,12,4,1,14
12,14,4,1,13
14,13,4,1,8
13,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,1,1,14
9,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,4,0,14
13,14,4,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,8
14,8,3,0,14
8,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,6
14,6,3,0,14
6,14,3,0,12
14,12,3,0,14
12,14,3,0,7
14,7,3,0,14
7,14,3,0,12
14,12,3,0,14
12,14,3,0,8
14,8,3,0,14
8,14,3,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,8
14,8,4,0,13
8,13,4,0,14
13,14,4,0,6
14,6,4,0,14
6,14,3,0,14
14,14,3,0,8
14,8,3,0,14
8,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,7
14,7,4,0,14
7,14,4,0,6
14,6,4,0,14
6,14,3,0,12
14,12,3,0,14
12,14,3,0,13
14,13,3,0,14
13,14,3,0,12
14,12,3,0,14
12,14,3,0,8
14,8,3,0,14
8,14,3,0,13
14,13,3,0,14
13,14,3,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,7
14,7,4,0,14
7,14,4,0,6
14,6,4,0,14
6,14,3,0,13
14,13,3,0,9
13,9,4,1,14
9,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,6
14,6,4,1,14
6,14,3,1,9
14,9,4,1,14
9,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,7
14,7,4,1,14
7,14,4,1,6
14,6,4,1,14
6,14,3,1,13
14,13,3,1,14
13,14,3,1,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,6
14,6,4,0,14
6,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,8
14,8,3,0,14
8,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,13
8,13,4,0,14
13,14,4,0,9
14,9,1,0,14
9,14,1,0,13
14,13,1,0,14
13,14,1,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,6
14,6,1,0,14
6,14,3,0,7
14,7,3,0,14
7,14,3,0,3
14,3,4,0,14
3,14,4,0,12
14,12,4,0,14
12,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,12
14,12,4,0,14
12,14,4,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,6
14,6,0,0,14
6,14,3,0,4
14,4,3,0,14
4,14,3,0,7
14,7,3,0,14
7,14,3,0,7
14,7,4,0,14
7,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,1
8,1,0,0,14
1,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,1,0,14
8,14,1,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,3,0,13
14,13,3,0,14
13,14,3,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,6
14,6,0,0,14
6,14,3,0,7
14,7,3,0,14
7,14,3,0,3
14,3,3,1,14
3,14,3,1,13
14,13,3,1,14
13,14,3,1,7
14,7,3,1,14
7,14,3,1,13
14,13,4,1,14
13,14,4,1,8
14,8,4,1,14
8,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,9
13,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,1,1,14
13,14,1,1,7
14,7,1,1,14
7,14,1,1,6
14,6,1,1,14
6,14,3,1,4
14,4,3,1,14
4,14,3,1,8
14,8,3,1,14
8,14,3,1,6
14,6,3,1,14
6,14,4,1,4
14,4,4,1,14
4,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,6
14,6,1,1,14
6,14,3,1,13
14,13,3,1,8
13,8,3,1,14
8,14,3,1,13
14,13,3,1,14
13,14,3,1,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,7
14,7,4,0,6
7,6,4,0,14
6,14,4,0,4
14,4,4,0,14
4,14,4,0,7
14,7,4,0,14
7,14,4,0,3
14,3,4,0,14
3,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,1,0,14
9,14,3,0,13
14,13,3,0,9
13,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,7
14,7,4,0,14
7,14,4,0,6
14,6,4,0,14
6,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,14
8,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,14
8,14,3,0,13
14,13,4,0,14
13,14,4,0,7
14,7,4,0,14
7,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,14
14,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,6
14,6,0,0,14
6,14,0,0,4
14,4,0,0,14
4,14,0,0,13
14,13,0,0,8
13,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,7
14,7,1,0,14
7,14,1,0,6
14,6,1,0,14
6,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,4,0,9
13,9,3,0,14
9,14,3,0,8
14,8,3,0,14
8,14,3,0,8
14,8,3,0,14
8,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,6
14,6,3,0,14
6,14,3,0,13
14,13,4,1,8
13,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,1,1,14
9,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,8
14,8,1,1,14
8,14,1,1,7
14,7,1,1,14
7,14,1,1,7
14,7,1,1,14
7,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,3,1,14
13,14,3,1,13
14,13,3,1,14
13,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,3,1,14
13,14,3,1,9
14,9,4,1,14
9,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,14
13,14,3,1,13
14,13,3,1,14
13,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,3,1,14
13,14,3,1,7
14,7,3,1,14
7,14,3,1,6
14,6,3,1,14
6,14,3,1,7
14,7,3,1,14
7,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,3,1,14
13,14,3,1,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,6
14,6,4,0,14
6,14,3,0,8
14,8,3,0,14
8,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,7
14,7,1,0,14
7,14,1,0,13
14,13,1,0,14
13,14,1,0,7
14,7,1,0,14
7,14,3,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,6
14,6,4,0,14
6,14,3,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,3,0,7
14,7,3,0,14
7,14,3,0,3
14,3,3,0,14
3,14,3,0,13
14,13,4,0,14
13,14,4,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,13
14,13,0,0,14
13,14,3,0,13
14,13,3,0,9
13,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,7
14,7,4,0,14
7,14,4,0,6
14,6,4,0,14
6,14,3,0,12
14,12,3,0,14
12,14,3,0,13
14,13,3,0,14
13,14,3,0,12
14,12,3,0,14
12,14,3,0,13
14,13,3,0,14
13,14,3,0,8
14,8,3,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,1,0,14
13,14,1,0,13
14,13,1,0,14
13,14,3,0,12
14,12,3,0,14
12,14,3,0,8
14,8,3,0,14
8,14,3,0,12
14,12,3,0,14
12,14,3,0,12
14,12,3,0,14
12,14,4,0,6
14,6,4,0,14
6,14,4,0,4
14,4,4,0,14
4,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,13
8,13,4,0,14
13,14,4,0,9
14,9,0,0,8
9,8,0,0,14
8,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,7
14,7,0,0,14
7,14,0,0,6
14,6,0,0,14
6,14,3,0,4
14,4,3,0,14
4,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,4,1,14
13,14,4,1,8
14,8,4,1,14
8,14,4,1,13
14,13,4,1,9
13,9,3,1,14
9,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,0,1,9
13,9,0,1,14
9,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,7
14,7,1,1,14
7,14,1,1,13
14,13,1,1,14
13,14,1,1,6
14,6,1,1,14
6,14,0,1,4
14,4,0,1,14
4,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,6
14,6,0,1,14
6,14,3,1,3
14,3,3,1,14
3,14,3,1,12
14,12,4,0,14
12,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,4,0,14
9,14,4,0,6
14,6,4,0,14
6,14,3,0,13
14,13,3,0,14
13,14,3,0,7
14,7,3,0,14
7,14,3,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,7
14,7,1,0,14
7,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,3,0,14
13,14,3,0,13
14,13,3,0,9
13,9,4,0,8
9,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,6
14,6,4,0,14
6,14,4,0,4
14,4,4,0,14
4,14,4,0,7
14,7,4,0,14
7,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,3,0,12
14,12,4,0,14
12,14,4,0,13
14,13,4,0,8
13,8,4,0,14
8,14,4,0,13
14,13,4,0,9
13,9,0,0,14
9,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,14
13,14,0,0,8
14,8,0,0,14
8,14,0,0,13
14,13,0,0,6
13,6,0,0,14
6,14,3,0,12
14,12,4,1,14
12,14,4,1,13
14,13,4,1,14
13,14,4,1,9
14,9,0,1,14
9,14,0,1,8
14,8,0,1,1
8,1,0,1,14
1,14,0,1,13
14,13,0,1,14
13,14,0,1,8
14,8,0,1,14
8,14,0,1,8
14,8,1,1,14
8,14,1,1,8
14,8,1,1,14
8,14,1,1,13
14,13,1,1,14
13,14,1,1,7
14,7,1,1,14
7,14,1,1,6
14,6,1,1,14
6,14,3,1,12
14,12,3,1,14
12,14,3,1,13
14,13,3,1,14
13,14,3,1,8
14,8,3,1,14
8,14,3,1,9
14,9,3,1,14
9,14,3,1,8
14,8,3,1,14
8,14,3,1,8
14,8,3,1,14
8,14,3,1,13
14,13,3,1,8
13,8,3,1,14
8,14,3,1,7
14,7,3,1,14
7,14,3,1,6
14,6,3,1,14
6,14,3,1,4
14,4,3,1,14
4,14,3,1,13
14,13,3,1,14
13,14,3,1,8
14,8,3,1,14
8,14,3,0,13
14,13,3,0,14
13,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,4,0,14
9,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,6
14,6,4,0,14
6,14,4,0,4
14,4,4,0,14
4,14,4,0,7
14,7,4,0,14
7,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,8
14,8,4,0,14
8,14,4,0,13
14,13,4,0,14
13,14,4,0,9
14,9,1,0,14
9,14,3,0,8
