@RELATION predict

@ATTRIBUTE preStartTime  {0,1,2,3,4,5}
@ATTRIBUTE act_last   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE startTime  {0,1,2,3,4,5}
@ATTRIBUTE dayofweek  {1,2,3,4,5,6,7}
@ATTRIBUTE act   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@data
5,Sleeping,5,7,Bed_to_Toilet
5,Bed_to_Toilet,5,7,Sleeping
1,Sleeping,1,1,Bed_to_Toilet
1,Bed_to_Toilet,1,1,Sleeping
1,Sleeping,1,1,Meal_Preparation
1,Meal_Preparation,1,1,Relax
2,Relax,2,1,Leave_Home
2,Leave_Home,2,1,Enter_Home
2,Enter_Home,2,1,Leave_Home
2,Leave_Home,2,1,Enter_Home
2,Enter_Home,2,1,Work
3,Work,3,1,Work
3,Work,3,1,Work
3,Work,3,1,Work
4,Work,4,1,Work
4,Work,4,1,Meal_Preparation
4,Meal_Preparation,4,1,Relax
4,Relax,4,1,Relax
4,Relax,4,1,Relax
5,Relax,5,1,Relax
5,Relax,5,1,Sleeping
1,Sleeping,1,2,Bed_to_Toilet
1,Bed_to_Toilet,1,2,Sleeping
2,Sleeping,2,2,Leave_Home
2,Leave_Home,2,2,Enter_Home
2,Enter_Home,2,2,Relax
2,Relax,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
2,Relax,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Eating
2,Eating,2,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Meal_Preparation
3,Meal_Preparation,3,2,Relax
3,Relax,3,2,Work
4,Work,4,2,Relax
4,Relax,4,2,Relax
4,Relax,4,2,Relax
5,Relax,5,2,Sleeping
0,Sleeping,0,3,Bed_to_Toilet
0,Bed_to_Toilet,0,3,Sleeping
1,Sleeping,1,3,Bed_to_Toilet
1,Bed_to_Toilet,1,3,Sleeping
2,Sleeping,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Eating
2,Eating,2,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Meal_Preparation
3,Meal_Preparation,3,3,Eating
4,Eating,4,3,Wash_Dishes
4,Wash_Dishes,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Eating
4,Eating,4,3,Leave_Home
4,Leave_Home,4,3,Enter_Home
4,Enter_Home,4,3,Leave_Home
4,Leave_Home,4,3,Enter_Home
4,Enter_Home,4,3,Relax
5,Relax,5,3,Sleeping
1,Sleeping,1,4,Bed_to_Toilet
1,Bed_to_Toilet,1,4,Sleeping
2,Sleeping,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Relax
2,Relax,2,4,Work
2,Work,2,4,Housekeeping
2,Housekeeping,2,4,Leave_Home
2,Leave_Home,2,4,Enter_Home
2,Enter_Home,2,4,Leave_Home
3,Leave_Home,3,4,Enter_Home
3,Enter_Home,3,4,Work
3,Work,3,4,Relax
3,Relax,3,4,Relax
4,Relax,4,4,Work
4,Work,4,4,Meal_Preparation
4,Meal_Preparation,4,4,Eating
4,Eating,4,4,Wash_Dishes
4,Wash_Dishes,4,4,Relax
5,Relax,5,4,Relax
5,Relax,5,4,Sleeping
0,Sleeping,0,5,Bed_to_Toilet
0,Bed_to_Toilet,0,5,Sleeping
1,Sleeping,1,5,Meal_Preparation
1,Meal_Preparation,1,5,Relax
1,Relax,1,5,Work
2,Work,2,5,Meal_Preparation
2,Meal_Preparation,2,5,Eating
2,Eating,2,5,Leave_Home
3,Leave_Home,3,5,Enter_Home
3,Enter_Home,3,5,Relax
3,Relax,3,5,Work
3,Work,3,5,Work
3,Work,3,5,Leave_Home
4,Leave_Home,4,5,Enter_Home
4,Enter_Home,4,5,Meal_Preparation
4,Meal_Preparation,4,5,Relax
4,Relax,4,5,Leave_Home
4,Leave_Home,4,5,Enter_Home
4,Enter_Home,4,5,Leave_Home
5,Leave_Home,5,5,Enter_Home
5,Enter_Home,5,5,Relax
5,Relax,5,5,Sleeping
1,Sleeping,1,6,Meal_Preparation
1,Meal_Preparation,1,6,Relax
1,Relax,1,6,Relax
2,Relax,2,6,Leave_Home
2,Leave_Home,2,6,Enter_Home
2,Enter_Home,2,6,Leave_Home
3,Leave_Home,3,6,Enter_Home
3,Enter_Home,3,6,Relax
4,Relax,4,6,Relax
4,Relax,4,6,Housekeeping
4,Housekeeping,4,6,Relax
4,Relax,4,6,Leave_Home
4,Leave_Home,4,6,Enter_Home
4,Enter_Home,4,6,Relax
4,Relax,4,6,Leave_Home
5,Leave_Home,5,6,Enter_Home
5,Enter_Home,5,6,Relax
0,Relax,0,7,Sleeping
2,Sleeping,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Relax
2,Relax,2,7,Leave_Home
3,Leave_Home,3,7,Enter_Home
3,Enter_Home,3,7,Relax
3,Relax,3,7,Relax
3,Relax,3,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Sleeping
5,Sleeping,5,7,Bed_to_Toilet
5,Bed_to_Toilet,5,7,Sleeping
0,Sleeping,0,1,Bed_to_Toilet
0,Bed_to_Toilet,0,1,Sleeping
1,Sleeping,1,1,Meal_Preparation
1,Meal_Preparation,1,1,Relax
1,Relax,1,1,Meal_Preparation
2,Meal_Preparation,2,1,Leave_Home
2,Leave_Home,2,1,Enter_Home
2,Enter_Home,2,1,Relax
2,Relax,2,1,Meal_Preparation
3,Meal_Preparation,3,1,Relax
3,Relax,3,1,Work
3,Work,3,1,Relax
3,Relax,3,1,Meal_Preparation
4,Meal_Preparation,4,1,Relax
4,Relax,4,1,Meal_Preparation
4,Meal_Preparation,4,1,Eating
4,Eating,4,1,Relax
4,Relax,4,1,Meal_Preparation
4,Meal_Preparation,4,1,Eating
4,Eating,4,1,Relax
4,Relax,4,1,Relax
5,Relax,5,1,Relax
5,Relax,5,1,Sleeping
0,Sleeping,0,2,Bed_to_Toilet
0,Bed_to_Toilet,0,2,Sleeping
1,Sleeping,1,2,Meal_Preparation
1,Meal_Preparation,1,2,Relax
1,Relax,1,2,Leave_Home
2,Leave_Home,2,2,Enter_Home
2,Enter_Home,2,2,Leave_Home
2,Leave_Home,2,2,Enter_Home
2,Enter_Home,2,2,Relax
2,Relax,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
2,Relax,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
3,Relax,3,2,Relax
3,Relax,3,2,Meal_Preparation
3,Meal_Preparation,3,2,Meal_Preparation
3,Meal_Preparation,3,2,Eating
3,Eating,3,2,Meal_Preparation
3,Meal_Preparation,3,2,Eating
3,Eating,3,2,Work
3,Work,3,2,Eating
3,Eating,3,2,Work
3,Work,3,2,Relax
3,Relax,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Leave_Home
4,Leave_Home,4,2,Enter_Home
4,Enter_Home,4,2,Meal_Preparation
5,Meal_Preparation,5,2,Eating
5,Eating,5,2,Relax
5,Relax,5,2,Relax
0,Relax,0,3,Sleeping
1,Sleeping,1,3,Bed_to_Toilet
1,Bed_to_Toilet,1,3,Sleeping
2,Sleeping,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Leave_Home
2,Leave_Home,2,3,Enter_Home
2,Enter_Home,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Eating
2,Eating,2,3,Relax
2,Relax,2,3,Leave_Home
2,Leave_Home,2,3,Enter_Home
2,Enter_Home,2,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Meal_Preparation
3,Meal_Preparation,3,3,Eating
4,Eating,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Eating
4,Eating,4,3,Relax
4,Relax,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Leave_Home
4,Leave_Home,4,3,Enter_Home
4,Enter_Home,4,3,Leave_Home
4,Leave_Home,4,3,Enter_Home
4,Enter_Home,4,3,Relax
5,Relax,5,3,Relax
0,Relax,0,4,Sleeping
0,Sleeping,0,4,Bed_to_Toilet
0,Bed_to_Toilet,0,4,Sleeping
1,Sleeping,1,4,Bed_to_Toilet
1,Bed_to_Toilet,1,4,Sleeping
2,Sleeping,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Relax
2,Relax,2,4,Relax
2,Relax,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Eating
2,Eating,2,4,Leave_Home
3,Leave_Home,3,4,Enter_Home
3,Enter_Home,3,4,Relax
3,Relax,3,4,Leave_Home
4,Leave_Home,4,4,Enter_Home
4,Enter_Home,4,4,Relax
0,Relax,0,5,Sleeping
1,Sleeping,1,5,Meal_Preparation
1,Meal_Preparation,1,5,Relax
2,Relax,2,5,Leave_Home
2,Leave_Home,2,5,Enter_Home
2,Enter_Home,2,5,Meal_Preparation
2,Meal_Preparation,2,5,Eating
2,Eating,2,5,Wash_Dishes
2,Wash_Dishes,2,5,Leave_Home
3,Leave_Home,3,5,Enter_Home
3,Enter_Home,3,5,Meal_Preparation
3,Meal_Preparation,3,5,Relax
4,Relax,4,5,Relax
4,Relax,4,5,Relax
5,Relax,5,5,Meal_Preparation
5,Meal_Preparation,5,5,Relax
5,Relax,5,5,Relax
5,Relax,5,5,Sleeping
1,Sleeping,1,6,Bed_to_Toilet
1,Bed_to_Toilet,1,6,Sleeping
2,Sleeping,2,6,Meal_Preparation
2,Meal_Preparation,2,6,Relax
2,Relax,2,6,Meal_Preparation
2,Meal_Preparation,2,6,Eating
2,Eating,2,6,Leave_Home
3,Leave_Home,3,6,Enter_Home
3,Enter_Home,3,6,Meal_Preparation
3,Meal_Preparation,3,6,Relax
4,Relax,4,6,Leave_Home
4,Leave_Home,4,6,Enter_Home
4,Enter_Home,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Housekeeping
4,Housekeeping,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
4,Relax,4,6,Relax
5,Relax,5,6,Relax
5,Relax,5,6,Relax
5,Relax,5,6,Relax
5,Relax,5,6,Relax
5,Relax,5,6,Relax
0,Relax,0,7,Sleeping
0,Sleeping,0,7,Bed_to_Toilet
0,Bed_to_Toilet,0,7,Sleeping
1,Sleeping,1,7,Bed_to_Toilet
1,Bed_to_Toilet,1,7,Sleeping
2,Sleeping,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Relax
2,Relax,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Eating
2,Eating,2,7,Leave_Home
3,Leave_Home,3,7,Enter_Home
3,Enter_Home,3,7,Housekeeping
3,Housekeeping,3,7,Relax
4,Relax,4,7,Relax
4,Relax,4,7,Meal_Preparation
4,Meal_Preparation,4,7,Relax
4,Relax,4,7,Meal_Preparation
4,Meal_Preparation,4,7,Eating
5,Eating,5,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Relax
0,Relax,0,1,Sleeping
1,Sleeping,1,1,Bed_to_Toilet
1,Bed_to_Toilet,1,1,Sleeping
1,Sleeping,1,1,Meal_Preparation
2,Meal_Preparation,2,1,Relax
2,Relax,2,1,Leave_Home
2,Leave_Home,2,1,Enter_Home
2,Enter_Home,2,1,Meal_Preparation
3,Meal_Preparation,3,1,Relax
3,Relax,3,1,Relax
3,Relax,3,1,Leave_Home
3,Leave_Home,3,1,Enter_Home
4,Enter_Home,4,1,Meal_Preparation
4,Meal_Preparation,4,1,Relax
4,Relax,4,1,Work
4,Work,4,1,Relax
4,Relax,4,1,Leave_Home
4,Leave_Home,4,1,Enter_Home
4,Enter_Home,4,1,Relax
5,Relax,5,1,Relax
5,Relax,5,1,Sleeping
0,Sleeping,0,2,Bed_to_Toilet
0,Bed_to_Toilet,0,2,Sleeping
1,Sleeping,1,2,Bed_to_Toilet
1,Bed_to_Toilet,1,2,Sleeping
2,Sleeping,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
2,Relax,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
2,Relax,2,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Meal_Preparation
3,Meal_Preparation,3,2,Eating
3,Eating,3,2,Relax
3,Relax,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Relax
3,Relax,3,2,Relax
4,Relax,4,2,Leave_Home
4,Leave_Home,4,2,Enter_Home
4,Enter_Home,4,2,Relax
5,Relax,5,2,Relax
0,Relax,0,3,Sleeping
2,Sleeping,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
3,Relax,3,3,Work
3,Work,3,3,Relax
3,Relax,3,3,Relax
3,Relax,3,3,Relax
3,Relax,3,3,Relax
3,Relax,3,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
5,Relax,5,3,Relax
0,Relax,0,4,Sleeping
0,Sleeping,0,4,Bed_to_Toilet
0,Bed_to_Toilet,0,4,Sleeping
1,Sleeping,1,4,Bed_to_Toilet
1,Bed_to_Toilet,1,4,Sleeping
2,Sleeping,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Relax
2,Relax,2,4,Leave_Home
3,Leave_Home,3,4,Enter_Home
3,Enter_Home,3,4,Relax
3,Relax,3,4,Relax
3,Relax,3,4,Leave_Home
3,Leave_Home,3,4,Enter_Home
3,Enter_Home,3,4,Relax
3,Relax,3,4,Meal_Preparation
4,Meal_Preparation,4,4,Relax
4,Relax,4,4,Relax
5,Relax,5,4,Relax
5,Relax,5,4,Relax
0,Relax,0,5,Sleeping
0,Sleeping,0,5,Bed_to_Toilet
0,Bed_to_Toilet,0,5,Sleeping
1,Sleeping,1,5,Bed_to_Toilet
1,Bed_to_Toilet,1,5,Sleeping
1,Sleeping,1,5,Meal_Preparation
1,Meal_Preparation,1,5,Relax
2,Relax,2,5,Leave_Home
2,Leave_Home,2,5,Enter_Home
2,Enter_Home,2,5,Meal_Preparation
3,Meal_Preparation,3,5,Meal_Preparation
3,Meal_Preparation,3,5,Relax
3,Relax,3,5,Leave_Home
3,Leave_Home,3,5,Enter_Home
3,Enter_Home,3,5,Meal_Preparation
3,Meal_Preparation,3,5,Relax
4,Relax,4,5,Relax
4,Relax,4,5,Meal_Preparation
4,Meal_Preparation,4,5,Relax
4,Relax,4,5,Meal_Preparation
4,Meal_Preparation,4,5,Relax
5,Relax,5,5,Sleeping
0,Sleeping,0,6,Bed_to_Toilet
0,Bed_to_Toilet,0,6,Sleeping
1,Sleeping,1,6,Meal_Preparation
1,Meal_Preparation,1,6,Relax
2,Relax,2,6,Leave_Home
2,Leave_Home,2,6,Enter_Home
3,Enter_Home,3,6,Meal_Preparation
3,Meal_Preparation,3,6,Relax
3,Relax,3,6,Meal_Preparation
3,Meal_Preparation,3,6,Relax
3,Relax,3,6,Meal_Preparation
3,Meal_Preparation,3,6,Work
4,Work,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Leave_Home
5,Leave_Home,5,6,Enter_Home
5,Enter_Home,5,6,Relax
5,Relax,5,6,Sleeping
1,Sleeping,1,7,Meal_Preparation
1,Meal_Preparation,1,7,Leave_Home
2,Leave_Home,2,7,Enter_Home
2,Enter_Home,2,7,Relax
2,Relax,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Relax
3,Relax,3,7,Work
3,Work,3,7,Leave_Home
3,Leave_Home,3,7,Enter_Home
3,Enter_Home,3,7,Leave_Home
3,Leave_Home,3,7,Enter_Home
3,Enter_Home,3,7,Meal_Preparation
4,Meal_Preparation,4,7,Relax
4,Relax,4,7,Meal_Preparation
4,Meal_Preparation,4,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Sleeping
1,Sleeping,1,1,Bed_to_Toilet
1,Bed_to_Toilet,1,1,Sleeping
1,Sleeping,1,1,Meal_Preparation
1,Meal_Preparation,1,1,Relax
1,Relax,1,1,Meal_Preparation
1,Meal_Preparation,1,1,Relax
1,Relax,1,1,Relax
2,Relax,2,1,Relax
2,Relax,2,1,Meal_Preparation
2,Meal_Preparation,2,1,Relax
2,Relax,2,1,Relax
2,Relax,2,1,Work
3,Work,3,1,Relax
3,Relax,3,1,Relax
3,Relax,3,1,Leave_Home
3,Leave_Home,3,1,Enter_Home
3,Enter_Home,3,1,Leave_Home
4,Leave_Home,4,1,Enter_Home
4,Enter_Home,4,1,Relax
5,Relax,5,1,Sleeping
2,Sleeping,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
2,Relax,2,2,Relax
2,Relax,2,2,Meal_Preparation
3,Meal_Preparation,3,2,Relax
3,Relax,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
4,Enter_Home,4,2,Meal_Preparation
4,Meal_Preparation,4,2,Meal_Preparation
4,Meal_Preparation,4,2,Meal_Preparation
5,Meal_Preparation,5,2,Relax
0,Relax,0,3,Sleeping
1,Sleeping,1,3,Sleeping
2,Sleeping,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Eating
2,Eating,2,3,Work
2,Work,2,3,Relax
2,Relax,2,3,Meal_Preparation
3,Meal_Preparation,3,3,Meal_Preparation
3,Meal_Preparation,3,3,Eating
3,Eating,3,3,Relax
3,Relax,3,3,Relax
3,Relax,3,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
5,Relax,5,3,Relax
5,Relax,5,3,Relax
5,Relax,5,3,Relax
5,Relax,5,3,Relax
5,Relax,5,3,Sleeping
1,Sleeping,1,4,Bed_to_Toilet
1,Bed_to_Toilet,1,4,Sleeping
1,Sleeping,1,4,Meal_Preparation
1,Meal_Preparation,1,4,Relax
1,Relax,1,4,Relax
2,Relax,2,4,Relax
2,Relax,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Relax
2,Relax,2,4,Relax
3,Relax,3,4,Meal_Preparation
3,Meal_Preparation,3,4,Relax
4,Relax,4,4,Meal_Preparation
4,Meal_Preparation,4,4,Relax
5,Relax,5,4,Relax
5,Relax,5,4,Relax
5,Relax,5,4,Relax
0,Relax,0,5,Relax
0,Relax,0,5,Sleeping
1,Sleeping,1,5,Meal_Preparation
2,Meal_Preparation,2,5,Eating
2,Eating,2,5,Eating
2,Eating,2,5,Relax
2,Relax,2,5,Relax
2,Relax,2,5,Relax
2,Relax,2,5,Meal_Preparation
2,Meal_Preparation,2,5,Relax
2,Relax,2,5,Meal_Preparation
3,Meal_Preparation,3,5,Relax
3,Relax,3,5,Meal_Preparation
3,Meal_Preparation,3,5,Relax
4,Relax,4,5,Meal_Preparation
4,Meal_Preparation,4,5,Relax
4,Relax,4,5,Relax
4,Relax,4,5,Meal_Preparation
4,Meal_Preparation,4,5,Eating
4,Eating,4,5,Relax
0,Relax,0,6,Sleeping
1,Sleeping,1,6,Meal_Preparation
1,Meal_Preparation,1,6,Relax
2,Relax,2,6,Leave_Home
3,Leave_Home,3,6,Enter_Home
3,Enter_Home,3,6,Relax
3,Relax,3,6,Meal_Preparation
3,Meal_Preparation,3,6,Housekeeping
3,Housekeeping,3,6,Relax
3,Relax,3,6,Relax
4,Relax,4,6,Relax
4,Relax,4,6,Relax
4,Relax,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
4,Relax,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
5,Relax,5,6,Meal_Preparation
5,Meal_Preparation,5,6,Eating
5,Eating,5,6,Relax
0,Relax,0,7,Sleeping
1,Sleeping,1,7,Bed_to_Toilet
1,Bed_to_Toilet,1,7,Sleeping
2,Sleeping,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Relax
2,Relax,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Eating
3,Eating,3,7,Wash_Dishes
3,Wash_Dishes,3,7,Relax
3,Relax,3,7,Meal_Preparation
3,Meal_Preparation,3,7,Eating
4,Eating,4,7,Relax
4,Relax,4,7,Housekeeping
4,Housekeeping,4,7,Relax
4,Relax,4,7,Eating
4,Eating,4,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Relax
0,Relax,0,1,Sleeping
1,Sleeping,1,1,Bed_to_Toilet
1,Bed_to_Toilet,1,1,Sleeping
1,Sleeping,1,1,Meal_Preparation
1,Meal_Preparation,1,1,Relax
1,Relax,1,1,Relax
2,Relax,2,1,Leave_Home
2,Leave_Home,2,1,Enter_Home
2,Enter_Home,2,1,Leave_Home
3,Leave_Home,3,1,Enter_Home
3,Enter_Home,3,1,Leave_Home
3,Leave_Home,3,1,Enter_Home
3,Enter_Home,3,1,Relax
3,Relax,3,1,Leave_Home
4,Leave_Home,4,1,Enter_Home
4,Enter_Home,4,1,Relax
4,Relax,4,1,Meal_Preparation
4,Meal_Preparation,4,1,Relax
5,Relax,5,1,Meal_Preparation
5,Meal_Preparation,5,1,Eating
5,Eating,5,1,Relax
0,Relax,0,2,Sleeping
2,Sleeping,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Relax
2,Relax,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Eating
2,Eating,2,2,Wash_Dishes
3,Wash_Dishes,3,2,Relax
3,Relax,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Meal_Preparation
4,Meal_Preparation,4,2,Relax
4,Relax,4,2,Relax
0,Relax,0,3,Sleeping
2,Sleeping,2,3,Bed_to_Toilet
2,Bed_to_Toilet,2,3,Sleeping
2,Sleeping,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Meal_Preparation
3,Meal_Preparation,3,3,Relax
3,Relax,3,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
4,Enter_Home,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Relax
4,Relax,4,3,Meal_Preparation
4,Meal_Preparation,4,3,Eating
4,Eating,4,3,Eating
4,Eating,4,3,Relax
4,Relax,4,3,Wash_Dishes
5,Wash_Dishes,5,3,Relax
5,Relax,5,3,Relax
0,Relax,0,4,Sleeping
1,Sleeping,1,4,Bed_to_Toilet
1,Bed_to_Toilet,1,4,Sleeping
2,Sleeping,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Relax
2,Relax,2,4,Meal_Preparation
2,Meal_Preparation,2,4,Eating
2,Eating,2,4,Leave_Home
3,Leave_Home,3,4,Enter_Home
3,Enter_Home,3,4,Relax
3,Relax,3,4,Relax
3,Relax,3,4,Leave_Home
4,Leave_Home,4,4,Enter_Home
4,Enter_Home,4,4,Relax
5,Relax,5,4,Sleeping
1,Sleeping,1,5,Meal_Preparation
1,Meal_Preparation,1,5,Relax
2,Relax,2,5,Leave_Home
2,Leave_Home,2,5,Enter_Home
2,Enter_Home,2,5,Meal_Preparation
2,Meal_Preparation,2,5,Eating
2,Eating,2,5,Leave_Home
3,Leave_Home,3,5,Enter_Home
3,Enter_Home,3,5,Meal_Preparation
3,Meal_Preparation,3,5,Relax
4,Relax,4,5,Relax
4,Relax,4,5,Meal_Preparation
4,Meal_Preparation,4,5,Relax
5,Relax,5,5,Relax
0,Relax,0,6,Sleeping
1,Sleeping,1,6,Bed_to_Toilet
1,Bed_to_Toilet,1,6,Sleeping
2,Sleeping,2,6,Meal_Preparation
2,Meal_Preparation,2,6,Relax
2,Relax,2,6,Relax
2,Relax,2,6,Meal_Preparation
2,Meal_Preparation,2,6,Eating
2,Eating,2,6,Leave_Home
3,Leave_Home,3,6,Enter_Home
4,Enter_Home,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
4,Relax,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
4,Relax,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
4,Relax,4,6,Meal_Preparation
4,Meal_Preparation,4,6,Relax
5,Relax,5,6,Relax
0,Relax,0,7,Sleeping
1,Sleeping,1,7,Bed_to_Toilet
1,Bed_to_Toilet,1,7,Sleeping
2,Sleeping,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Relax
2,Relax,2,7,Meal_Preparation
2,Meal_Preparation,2,7,Relax
3,Relax,3,7,Meal_Preparation
3,Meal_Preparation,3,7,Eating
3,Eating,3,7,Relax
3,Relax,3,7,Relax
3,Relax,3,7,Meal_Preparation
3,Meal_Preparation,3,7,Relax
4,Relax,4,7,Housekeeping
4,Housekeeping,4,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Relax
5,Relax,5,7,Sleeping
1,Sleeping,1,1,Bed_to_Toilet
1,Bed_to_Toilet,1,1,Sleeping
2,Sleeping,2,1,Meal_Preparation
2,Meal_Preparation,2,1,Relax
2,Relax,2,1,Meal_Preparation
2,Meal_Preparation,2,1,Eating
2,Eating,2,1,Meal_Preparation
2,Meal_Preparation,2,1,Relax
2,Relax,2,1,Wash_Dishes
2,Wash_Dishes,2,1,Relax
3,Relax,3,1,Relax
3,Relax,3,1,Meal_Preparation
4,Meal_Preparation,4,1,Meal_Preparation
5,Meal_Preparation,5,1,Relax
5,Relax,5,1,Relax
0,Relax,0,2,Sleeping
1,Sleeping,1,2,Bed_to_Toilet
1,Bed_to_Toilet,1,2,Sleeping
1,Sleeping,1,2,Meal_Preparation
2,Meal_Preparation,2,2,Meal_Preparation
2,Meal_Preparation,2,2,Leave_Home
2,Leave_Home,2,2,Enter_Home
2,Enter_Home,2,2,Leave_Home
3,Leave_Home,3,2,Enter_Home
3,Enter_Home,3,2,Leave_Home
4,Leave_Home,4,2,Enter_Home
4,Enter_Home,4,2,Meal_Preparation
4,Meal_Preparation,4,2,Meal_Preparation
5,Meal_Preparation,5,2,Relax
5,Relax,5,2,Relax
0,Relax,0,3,Sleeping
1,Sleeping,1,3,Bed_to_Toilet
1,Bed_to_Toilet,1,3,Sleeping
2,Sleeping,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Relax
2,Relax,2,3,Meal_Preparation
2,Meal_Preparation,2,3,Eating
2,Eating,2,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Relax
3,Relax,3,3,Meal_Preparation
3,Meal_Preparation,3,3,Eating
3,Eating,3,3,Leave_Home
3,Leave_Home,3,3,Enter_Home
3,Enter_Home,3,3,Relax
4,Relax,4,3,Leave_Home
